A,B
18,173.4
7.8,126.2
8.5,131.2
12.5,155
7.4,126.8
15,170.4
7.1,121.8
15.2,169.3
19.2,176.8
16.6,175.2
18.7,175.9
13.3,160.4
19.1,174.6
15.1,169.9
16.7,173.1
12.7,155.8
19.3,175.4
18.6,174.4
11.8,148.5
15.5,172.5
17.2,175.2
18.3,175.6
7.1,123.1
18.5,170.8
7.4,125
7.4,128.4
9.8,140.9
16.8,175.8
10,142.8
10.9,146.3
9.4,137.2
13.5,163.2
15.8,174.7
18.4,174.3
10.4,143.6
12.4,153.3
7.1,127.2
16.2,171.9
12.2,156.6
9.4,135.4
16.6,172.4
18.6,176.8
9.9,140.2
11,148
18.3,173
18.9,172
10.1,143.1
13.7,165
15.2,169.9
12.5,153.6
15.9,178.2
10.4,143.7
17.2,173.9
11.5,151.1
12.5,154.1
19.2,178.8
8.6,132.1
12.3,153.6
9.3,137.2
13,161
18.3,173.8
15.7,176.3
13,161.3
13.3,160
18.8,174.6
14.4,166.6
14,164.9
19.9,173.9
8.8,134.5
16.3,171.4
8,133
12.6,153.2
7.9,126.4
7.6,131.2
13.4,161
15.7,172.7
10.7,144.1
18.9,175.7
15.6,173.4
17.6,175.3
17.8,176.7
19,173
10.2,142.1
10.7,143.5
11.5,147.2
8.4,130.6
9.6,139.7
12,151.4
12.1,147.8
8.3,131
9.4,134.2
7.3,123.5
13.7,163.3
11.2,145.9
13.8,164.2
19.6,175.9
19,172.2
14.7,169.1
15.8,173.9
10.8,145
